col_name_numeric,col_name_text,response_options,question_type,question_text,"Note: It was discovered after fielding that the phys_hyb question, response option 4 had a typo in it that could change the ability of respondents of respondents to accurately respond to the question.  We note the typo here and suggest caution in interpreting responses to the phys_hyb question."
ind_trd_numeric,ind_trd_text,"list(`1` = ""Other (please specify)"", `2` = ""Retail trade"", `3` = ""Wholesale trade"")",radio,In which economic sub-sector does this business operate?,
bus_eth_numeric_american_indian_or_alaska_native,bus_eth_text_american_indian_or_alaska_native,"list(`1` = ""I prefer not to respond"", `2` = ""Some other race or ethnicity"", `3` = ""Native Hawaiian or other Pacific Islander"", `4` = ""Middle Eastern or North African"", `5` = ""American Indian or Alaska Native"", `6` = ""Asian"", `7` = ""Black or African American"", `8` = ""Hispanic"", `9` = ""White"")",radio,What are the races or ethnicities of all of the owner(s) of this business? Please select all answers that apply from the list below.,
bus_eth_numeric_asian,bus_eth_text_asian,"list(`1` = ""I prefer not to respond"", `2` = ""Some other race or ethnicity"", `3` = ""Native Hawaiian or other Pacific Islander"", `4` = ""Middle Eastern or North African"", `5` = ""American Indian or Alaska Native"", `6` = ""Asian"", `7` = ""Black or African American"", `8` = ""Hispanic"", `9` = ""White"")",radio,What are the races or ethnicities of all of the owner(s) of this business? Please select all answers that apply from the list below.,
bus_eth_numeric_black_or_african_american,bus_eth_text_black_or_african_american,"list(`1` = ""I prefer not to respond"", `2` = ""Some other race or ethnicity"", `3` = ""Native Hawaiian or other Pacific Islander"", `4` = ""Middle Eastern or North African"", `5` = ""American Indian or Alaska Native"", `6` = ""Asian"", `7` = ""Black or African American"", `8` = ""Hispanic"", `9` = ""White"")",radio,What are the races or ethnicities of all of the owner(s) of this business? Please select all answers that apply from the list below.,
bus_eth_numeric_hispanic,bus_eth_text_hispanic,"list(`1` = ""I prefer not to respond"", `2` = ""Some other race or ethnicity"", `3` = ""Native Hawaiian or other Pacific Islander"", `4` = ""Middle Eastern or North African"", `5` = ""American Indian or Alaska Native"", `6` = ""Asian"", `7` = ""Black or African American"", `8` = ""Hispanic"", `9` = ""White"")",radio,What are the races or ethnicities of all of the owner(s) of this business? Please select all answers that apply from the list below.,
bus_eth_numeric_i_prefer_not_to_respond,bus_eth_text_i_prefer_not_to_respond,"list(`1` = ""I prefer not to respond"", `2` = ""Some other race or ethnicity"", `3` = ""Native Hawaiian or other Pacific Islander"", `4` = ""Middle Eastern or North African"", `5` = ""American Indian or Alaska Native"", `6` = ""Asian"", `7` = ""Black or African American"", `8` = ""Hispanic"", `9` = ""White"")",radio,What are the races or ethnicities of all of the owner(s) of this business? Please select all answers that apply from the list below.,
bus_eth_numeric_middle_eastern_or_north_african,bus_eth_text_middle_eastern_or_north_african,"list(`1` = ""I prefer not to respond"", `2` = ""Some other race or ethnicity"", `3` = ""Native Hawaiian or other Pacific Islander"", `4` = ""Middle Eastern or North African"", `5` = ""American Indian or Alaska Native"", `6` = ""Asian"", `7` = ""Black or African American"", `8` = ""Hispanic"", `9` = ""White"")",radio,What are the races or ethnicities of all of the owner(s) of this business? Please select all answers that apply from the list below.,
bus_eth_numeric_native_hawaiian_or_other_pacific_islander,bus_eth_text_native_hawaiian_or_other_pacific_islander,"list(`1` = ""I prefer not to respond"", `2` = ""Some other race or ethnicity"", `3` = ""Native Hawaiian or other Pacific Islander"", `4` = ""Middle Eastern or North African"", `5` = ""American Indian or Alaska Native"", `6` = ""Asian"", `7` = ""Black or African American"", `8` = ""Hispanic"", `9` = ""White"")",radio,What are the races or ethnicities of all of the owner(s) of this business? Please select all answers that apply from the list below.,
bus_eth_numeric_some_other_race_or_ethnicity,bus_eth_text_some_other_race_or_ethnicity,"list(`1` = ""I prefer not to respond"", `2` = ""Some other race or ethnicity"", `3` = ""Native Hawaiian or other Pacific Islander"", `4` = ""Middle Eastern or North African"", `5` = ""American Indian or Alaska Native"", `6` = ""Asian"", `7` = ""Black or African American"", `8` = ""Hispanic"", `9` = ""White"")",radio,What are the races or ethnicities of all of the owner(s) of this business? Please select all answers that apply from the list below.,
bus_eth_numeric_white,bus_eth_text_white,"list(`1` = ""I prefer not to respond"", `2` = ""Some other race or ethnicity"", `3` = ""Native Hawaiian or other Pacific Islander"", `4` = ""Middle Eastern or North African"", `5` = ""American Indian or Alaska Native"", `6` = ""Asian"", `7` = ""Black or African American"", `8` = ""Hispanic"", `9` = ""White"")",radio,What are the races or ethnicities of all of the owner(s) of this business? Please select all answers that apply from the list below.,
dem_age_numeric,dem_age_text,"list(`49` = ""40 to 49"", `19` = ""Less than 20"", `69` = ""60 to 69"", `39` = ""30 to 39"", `59` = ""50 to 59"", `29` = ""20 to 29"", `79` = ""70 or older"")",radio,How old are you?,
bus_cur_opn_numeric,bus_cur_opn_text,"list(`1` = ""No"", `2` = ""Yes"")",radio,Is this business currently operational or engaging in any revenue-generating activities?,
bus_dig_rev_numeric,bus_dig_rev_text,"list(`1` = ""All"", `2` = ""Between 75 and 100%"", `3` = ""Between 50 and 75%"", `4` = ""Between 25 and 50%"", `5` = ""Between 0 and 25%"", `6` = ""None"")",radio,"In the past 30 days, what percentage of your business sales were made digitally (for example, orders and payments made online)?",
bus_fut_chl_numeric_cash_flow,bus_fut_chl_text_cash_flow,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
bus_fut_chl_numeric_finding_supplies,bus_fut_chl_text_finding_supplies,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
bus_fut_chl_numeric_getting_new_investors,bus_fut_chl_text_getting_new_investors,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
bus_fut_chl_numeric_getting_new_loans,bus_fut_chl_text_getting_new_loans,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
bus_fut_chl_numeric_government_or_health_authority_orders,bus_fut_chl_text_government_or_health_authority_orders,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
bus_fut_chl_numeric_inventory,bus_fut_chl_text_inventory,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
bus_fut_chl_numeric_lack_of_demand_no_customers,bus_fut_chl_text_lack_of_demand_no_customers,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
bus_fut_chl_numeric_lack_of_workers,bus_fut_chl_text_lack_of_workers,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
bus_fut_chl_numeric_logistics_e_g_shipping_delivering_services_or_goods,bus_fut_chl_text_logistics_e_g_shipping_delivering_services_or_goods,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
bus_fut_chl_numeric_no_challenges,bus_fut_chl_text_no_challenges,"list(`1` = ""Other (please specify)"", `2` = ""Repaying outstanding loans"", `3` = ""Getting new loans"", `4` = ""Getting new investors"", `5` = ""Government or health authority orders"", `6` = ""Inventory"", `7` = ""Cash flow"", `8` = ""Finding supplies"", `9` = ""Lack of demand (no customers)"", `10` = ""Logistics (e.g. shipping, delivering services or goods)"", `11` = ""Lack of workers"", `12` = ""No challenges"")",checkbox,What do you expect this business’ challenges to be in the next few months? (Select all that apply),
