variable,value,pop,country_iso2,mean_w,se_w,count,question_n
bus_cur_opn,No,overall_owner_manager,AR,0.128038958,0.030489438,76,536
bus_cur_opn,Yes,overall_owner_manager,AR,0.871961042,0.030489438,460,536
bus_dig_rev,All,overall_owner_manager,AR,0.100554849,0.031475056,39,428
bus_dig_rev,Between 0 and 25%,overall_owner_manager,AR,0.164182211,0.038770063,95,428
bus_dig_rev,Between 25 and 50%,overall_owner_manager,AR,0.099745739,0.031362265,63,428
bus_dig_rev,Between 50 and 75%,overall_owner_manager,AR,0.14854587,0.037221046,63,428
bus_dig_rev,Between 75 and 100%,overall_owner_manager,AR,0.096539844,0.030909036,39,428
bus_dig_rev,None,overall_owner_manager,AR,0.390431487,0.05105771,129,428
bus_emp_btn,0 (Just me),overall_owner_manager,AR,0.348987139,0.041765431,210,572
bus_emp_btn,1,overall_owner_manager,AR,0.107111163,0.027097769,85,572
bus_emp_btn,100 to 250,overall_owner_manager,AR,0.019865122,0.012226609,7,572
bus_emp_btn,10 to 49,overall_owner_manager,AR,0.118290649,0.028297978,43,572
bus_emp_btn,2 to 4,overall_owner_manager,AR,0.237253678,0.037274688,144,572
bus_emp_btn,50 to 99,overall_owner_manager,AR,0.008769323,0.008169357,8,572
bus_emp_btn,5 to 9,overall_owner_manager,AR,0.159722926,0.032100542,75,572
bus_emp_chn,Decreased,overall_owner_manager,AR,0.386771624,0.044878155,137,528
bus_emp_chn,Don’t know,overall_owner_manager,AR,0.124375818,0.03041049,69,528
bus_emp_chn,Increased,overall_owner_manager,AR,0.111859182,0.029045129,48,528
bus_emp_chn,Stayed the same,overall_owner_manager,AR,0.376993376,0.04465908,274,528
bus_emp_rhr_pct,100% (meaning that all have been re-hired),overall_owner_manager,AR,0.187477212,0.03565849,84,421
bus_emp_rhr_pct,Between 0 and 10%,overall_owner_manager,AR,0.592370719,0.044895252,279,421
bus_emp_rhr_pct,Between 10 and 20%,overall_owner_manager,AR,0.063692031,0.022311195,14,421
bus_emp_rhr_pct,Between 20 and 30%,overall_owner_manager,AR,0.003173137,0.005138368,4,421
bus_emp_rhr_pct,Between 30 and 40%,overall_owner_manager,AR,0.030540385,0.015720742,7,421
bus_emp_rhr_pct,Between 40 and 50%,overall_owner_manager,AR,0.018800767,0.012409015,9,421
bus_emp_rhr_pct,Between 50 and 60%,overall_owner_manager,AR,0.023546976,0.013853649,5,421
bus_emp_rhr_pct,Between 60 and 70%,overall_owner_manager,AR,0.026220708,0.01459901,3,421
bus_emp_rhr_pct,Between 70 and 80%,overall_owner_manager,AR,0.008436518,0.008356277,4,421
bus_emp_rhr_pct,Between 80 and 90%,overall_owner_manager,AR,0.021487146,0.013247794,1,421
bus_emp_rhr_pct,Between 90 and 100%,overall_owner_manager,AR,0.024254401,0.014055118,11,421
bus_fut_chl_cash_flow,Checked,overall_owner_manager,AR,0.128270554,0.033196927,76,460
bus_fut_chl_cash_flow,Unchecked,overall_owner_manager,AR,0.871729446,0.033196927,384,460
bus_fut_chl_finding_supplies,Checked,overall_owner_manager,AR,0.178890391,0.038048506,81,460
bus_fut_chl_finding_supplies,Unchecked,overall_owner_manager,AR,0.821109609,0.038048506,379,460
bus_fut_chl_getting_new_investors,Checked,overall_owner_manager,AR,0.188211081,0.038805,69,460
bus_fut_chl_getting_new_investors,Unchecked,overall_owner_manager,AR,0.811788919,0.038805,391,460
bus_fut_chl_getting_new_loans,Checked,overall_owner_manager,AR,0.243140909,0.042587296,97,460
bus_fut_chl_getting_new_loans,Unchecked,overall_owner_manager,AR,0.756859091,0.042587296,363,460
bus_fut_chl_government_or_health_authority_orders,Checked,overall_owner_manager,AR,0.252087861,0.043106702,79,460
bus_fut_chl_government_or_health_authority_orders,Unchecked,overall_owner_manager,AR,0.747912139,0.043106702,381,460
bus_fut_chl_inventory,Checked,overall_owner_manager,AR,0.056697748,0.022958942,28,460
bus_fut_chl_inventory,Unchecked,overall_owner_manager,AR,0.943302252,0.022958942,432,460
bus_fut_chl_lack_of_demand_no_customers,Checked,overall_owner_manager,AR,0.344807181,0.047186335,165,460
bus_fut_chl_lack_of_demand_no_customers,Unchecked,overall_owner_manager,AR,0.655192819,0.047186335,295,460
bus_fut_chl_lack_of_workers,Checked,overall_owner_manager,AR,0.123533649,0.032666589,61,460
bus_fut_chl_lack_of_workers,Unchecked,overall_owner_manager,AR,0.876466351,0.032666589,399,460
bus_fut_chl_logistics_e_g_shipping_delivering_services_or_goods,Checked,overall_owner_manager,AR,0.157424457,0.036156307,82,460
bus_fut_chl_logistics_e_g_shipping_delivering_services_or_goods,Unchecked,overall_owner_manager,AR,0.842575543,0.036156307,378,460
bus_fut_chl_no_challenges,Checked,overall_owner_manager,AR,0.100078277,0.029793108,44,460
bus_fut_chl_no_challenges,Unchecked,overall_owner_manager,AR,0.899921723,0.029793108,416,460
bus_fut_chl_other_please_specify,Checked,overall_owner_manager,AR,0.032812996,0.017685678,15,460
bus_fut_chl_other_please_specify,Unchecked,overall_owner_manager,AR,0.967187004,0.017685678,445,460
