col_name_numeric,col_name_text,question_text,question_type,question_options_numeric,question_options_text
bus_cur_opn_numeric,bus_cur_opn_text,Is this business currently operational or engaging in any revenue-generating activities?,radio,"NA,2,1","NA,Yes,No"
bus_dig_rev_numeric,bus_dig_rev_text,"In the past 30 days, what percentage of your business sales were made digitally (for example, orders and payments made online)?",radio,"NA,4,6,3,1,5,2","NA,Between 25 and 50%,None,Between 50 and 75%,All,Between 0 and 25%,Between 75 and 100%"
bus_emp_btn_numeric,bus_emp_btn_text,"How many employees does this business currently have, not including yourself?",radio,"NA,6,4,2,1,5,3,8,7","NA,2 to 4,10 to 49,100 to 250,More than 250,5 to 9,50 to 99,0 (Just me),1"
bus_emp_chn_dec_numeric,bus_emp_chn_dec_text,By what percent has the number of workers decreased in the past 6 months?,radio,"NA,2,11,3,4,1,12,6,5,9,10,7,8","NA,10-20%,100% (meaning no employees other than you),20-30%,30-40%,0-10%,Don't know,50-60%,40-50%,80-90%,90-100%,60-70%,70-80%"
bus_emp_chn_inc_numeric,bus_emp_chn_inc_text,By what percent has the number of workers increased in the past 6 months?,radio,"NA,3,12,5,6,1,7,2,11,8,9,4,10","NA,20-30%,Don't know,40-50%,50-60%,0-10%,60-70%,10-20%,100% or more (meaning double the number of employees),70-80%,80-90%,30-40%,90-100%"
bus_emp_chn_numeric,bus_emp_chn_text,How has the number of workers at this business changed in the past 6 months?,radio,"NA,2,4,3,1","NA,Increased,Decreased,Stayed the same,Don‚Äôt know"
bus_emp_pln_numeric,bus_emp_pln_text,Does this business plan any of the following related to its number of employees over the coming 6 months?,radio,"NA,1,3,4,2","NA,We plan to hire more employees,We do not plan to change the number of employees,Don't know,We plan to reduce the number of employees"
bus_eth_numeric_american_indian_or_alaska_native,bus_eth_text_american_indian_or_alaska_native,What are the races or ethnicities of all of the owner(s) of this business? line_break Please select all answers that apply from the list below.,checkbox,"NA,0,1","NA,American Indian or Alaska Native"
bus_eth_numeric_asian,bus_eth_text_asian,What are the races or ethnicities of all of the owner(s) of this business? line_break Please select all answers that apply from the list below.,checkbox,"NA,1,0","NA,Asian"
bus_eth_numeric_black_or_african_american,bus_eth_text_black_or_african_american,What are the races or ethnicities of all of the owner(s) of this business? line_break Please select all answers that apply from the list below.,checkbox,"NA,0,1","NA,Black or African American"
bus_eth_numeric_hispanic,bus_eth_text_hispanic,What are the races or ethnicities of all of the owner(s) of this business? line_break Please select all answers that apply from the list below.,checkbox,"NA,0,1","NA,Hispanic"
bus_eth_numeric_i_prefer_not_to_respond,bus_eth_text_i_prefer_not_to_respond,What are the races or ethnicities of all of the owner(s) of this business? line_break Please select all answers that apply from the list below.,checkbox,"NA,0,1","NA,I prefer not to respond"
bus_eth_numeric_middle_eastern_or_north_african,bus_eth_text_middle_eastern_or_north_african,What are the races or ethnicities of all of the owner(s) of this business? line_break Please select all answers that apply from the list below.,checkbox,"NA,0,1","NA,Middle Eastern or North African"
bus_eth_numeric_native_hawaiian_or_other_pacific_islander,bus_eth_text_native_hawaiian_or_other_pacific_islander,What are the races or ethnicities of all of the owner(s) of this business? line_break Please select all answers that apply from the list below.,checkbox,"NA,0,1","NA,Native Hawaiian or other Pacific Islander"
bus_eth_numeric_some_other_race_or_ethnicity,bus_eth_text_some_other_race_or_ethnicity,What are the races or ethnicities of all of the owner(s) of this business? line_break Please select all answers that apply from the list below.,checkbox,"NA,0,1","NA,Some other race or ethnicity"
bus_eth_numeric_white,bus_eth_text_white,What are the races or ethnicities of all of the owner(s) of this business? line_break Please select all answers that apply from the list below.,checkbox,"NA,0,1","NA,White"
bus_fut_chl_numeric_cash_flow,bus_fut_chl_text_cash_flow,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Cash flow"
bus_fut_chl_numeric_finding_supplies,bus_fut_chl_text_finding_supplies,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Finding supplies"
bus_fut_chl_numeric_getting_new_investors,bus_fut_chl_text_getting_new_investors,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Getting new investors"
bus_fut_chl_numeric_getting_or_repaying_loans,bus_fut_chl_text_getting_or_repaying_loans,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Getting or repaying loans"
bus_fut_chl_numeric_government_or_health_authority_orders,bus_fut_chl_text_government_or_health_authority_orders,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Government or health authority orders"
bus_fut_chl_numeric_inventory,bus_fut_chl_text_inventory,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Inventory"
bus_fut_chl_numeric_lack_of_demand_no_customers,bus_fut_chl_text_lack_of_demand_no_customers,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Lack of demand (no customers)"
