"variable","value","pop","country_iso2","mean_w","se_w","count","question_n"
"bus_cur_opn","No","overall_owner_manager","AE",0.385472835715012,0.0824089952591499,53,234
"bus_cur_opn","Yes","overall_owner_manager","AE",0.614527164284988,0.0824089952591499,181,234
"bus_dig_rev","All","overall_owner_manager","AE",0.0624903995316553,0.0567176445334316,12,147
"bus_dig_rev","Between 0 and 25%","overall_owner_manager","AE",0.177820221375618,0.0895978612126822,37,147
"bus_dig_rev","Between 25 and 50%","overall_owner_manager","AE",0.0850175717646665,0.0653558397291666,28,147
"bus_dig_rev","Between 50 and 75%","overall_owner_manager","AE",0.189777298310868,0.0918857167756813,17,147
"bus_dig_rev","Between 75 and 100%","overall_owner_manager","AE",0.0444329372238123,0.0482843924640086,15,147
"bus_dig_rev","None","overall_owner_manager","AE",0.44046157179338,0.116330245675648,38,147
"bus_emp_btn","0 (Just me)","overall_owner_manager","AE",0.344369329153627,0.0726825516162701,59,274
"bus_emp_btn","1","overall_owner_manager","AE",0.0889833189046524,0.04355176566039,29,274
"bus_emp_btn","100 to 250","overall_owner_manager","AE",0.0285527084041843,0.0254754332179058,10,274
"bus_emp_btn","10 to 49","overall_owner_manager","AE",0.154418992405925,0.0552734113625943,45,274
"bus_emp_btn","2 to 4","overall_owner_manager","AE",0.262778900873158,0.067325940055482,69,274
"bus_emp_btn","50 to 99","overall_owner_manager","AE",0.0108531479723154,0.015848806052493,9,274
"bus_emp_btn","5 to 9","overall_owner_manager","AE",0.110043602286139,0.0478690783826703,53,274
"bus_emp_chn","Decreased","overall_owner_manager","AE",0.239507295621688,0.0737660468771093,35,223
"bus_emp_chn","Don’t know","overall_owner_manager","AE",0.209410448240338,0.0703273606963569,38,223
"bus_emp_chn","Increased","overall_owner_manager","AE",0.141936544281188,0.0603193186728684,58,223
"bus_emp_chn","Stayed the same","overall_owner_manager","AE",0.409145711856786,0.0849823641123349,92,223
"bus_emp_pln","Don't know","overall_owner_manager","AE",0.452006130336904,0.0875441488106753,65,211
"bus_emp_pln","We do not plan to change the number of employees","overall_owner_manager","AE",0.124730746019244,0.0581198799236398,50,211
"bus_emp_pln","We plan to hire more employees","overall_owner_manager","AE",0.296054629449892,0.0803012893944247,77,211
"bus_emp_pln","We plan to reduce the number of employees","overall_owner_manager","AE",0.12720849419396,0.0586111743698157,19,211
"bus_fut_chl_cash_flow","Checked","overall_owner_manager","AE",0.251991233285346,0.0936902466919848,46,168
"bus_fut_chl_cash_flow","Unchecked","overall_owner_manager","AE",0.748008766714655,0.0936902466919848,122,168
"bus_fut_chl_finding_supplies","Checked","overall_owner_manager","AE",0.0794416780971216,0.0583577019298497,27,168
"bus_fut_chl_finding_supplies","Unchecked","overall_owner_manager","AE",0.920558321902878,0.0583577019298497,141,168
"bus_fut_chl_getting_new_investors","Checked","overall_owner_manager","AE",0.122409938472156,0.0707298131043791,36,168
"bus_fut_chl_getting_new_investors","Unchecked","overall_owner_manager","AE",0.877590061527844,0.0707298131043791,132,168
"bus_fut_chl_getting_or_repaying_loans","Checked","overall_owner_manager","AE",0.054131297143704,0.0488301397751102,19,168
"bus_fut_chl_getting_or_repaying_loans","Unchecked","overall_owner_manager","AE",0.945868702856296,0.0488301397751102,149,168
"bus_fut_chl_government_or_health_authority_orders","Checked","overall_owner_manager","AE",0.195044143031747,0.085506831082276,13,168
"bus_fut_chl_government_or_health_authority_orders","Unchecked","overall_owner_manager","AE",0.804955856968253,0.085506831082276,155,168
"bus_fut_chl_inventory","Checked","overall_owner_manager","AE",0.0450101406973652,0.0447407116527577,12,168
"bus_fut_chl_inventory","Unchecked","overall_owner_manager","AE",0.954989859302635,0.0447407116527577,156,168
"bus_fut_chl_lack_of_demand_no_customers","Checked","overall_owner_manager","AE",0.287560242234911,0.097675763931852,38,168
"bus_fut_chl_lack_of_demand_no_customers","Unchecked","overall_owner_manager","AE",0.712439757765089,0.097675763931852,130,168
"bus_fut_chl_lack_of_workers","Checked","overall_owner_manager","AE",0.0273172036669578,0.0351764541902389,15,168
"bus_fut_chl_lack_of_workers","Unchecked","overall_owner_manager","AE",0.972682796333042,0.0351764541902389,153,168
"bus_fut_chl_logistics_e_g_shipping_delivering_services_or_goods","Checked","overall_owner_manager","AE",0.0814501906946249,0.059026323121712,27,168
"bus_fut_chl_logistics_e_g_shipping_delivering_services_or_goods","Unchecked","overall_owner_manager","AE",0.918549809305375,0.059026323121712,141,168
"bus_fut_chl_no_challenges","Checked","overall_owner_manager","AE",0.188882549230182,0.0844668138997358,32,168
"bus_fut_chl_no_challenges","Unchecked","overall_owner_manager","AE",0.811117450769818,0.0844668138997358,136,168
"bus_fut_chl_other_please_specify","Checked","overall_owner_manager","AE",0.126645493214671,0.0717692611370843,9,168
"bus_fut_chl_other_please_specify","Unchecked","overall_owner_manager","AE",0.873354506785329,0.0717692611370843,159,168
"bus_fut_chl_surplus_office_commercial_space","Checked","overall_owner_manager","AE",0.0418945789892887,0.0432348430207234,11,168
"bus_fut_chl_surplus_office_commercial_space","Unchecked","overall_owner_manager","AE",0.958105421010711,0.0432348430207234,157,168
"bus_rol","Both own and manage a business","overall_owner_manager","AE",0.321512645456994,0.0714427577709635,113,274
"bus_rol","Manage a business","overall_owner_manager","AE",0.237502781376889,0.065094123570126,51,274
"bus_rol","Own a business","overall_owner_manager","AE",0.440984573166117,0.0759472227418408,110,274
"bus_sls_dif","Don’t know","overall_owner_manager","AE",0.162670602509184,0.072578075411595,25,184
"bus_sls_dif","Higher than last year","overall_owner_manager","AE",0.183275253323925,0.0760838555182153,55,184
"bus_sls_dif","Lower than last year","overall_owner_manager","AE",0.334816904706953,0.0928062086170678,50,184
"bus_sls_dif","Same as last year","overall_owner_manager","AE",0.281515291173995,0.0884428034093669,37,184
"bus_sls_dif","This business was not in operation last year","overall_owner_manager","AE",0.0377219482859429,0.0374671007627651,17,184
"bus_srv","12 months or more","overall_owner_manager","AE",0.12657270202061,0.0733576215154051,51,162
"bus_srv","At least 6 months but less than 12 months","overall_owner_manager","AE",0.0982030346396566,0.0656566431171169,27,162
"bus_srv","Less than 6 months","overall_owner_manager","AE",0.240613766364285,0.0943090632202937,21,162
"bus_srv","Not sure","overall_owner_manager","AE",0.534610496975449,0.110049701285372,63,162
"chl_fin_bills_or_accounts_payable","Checked","overall_owner_manager","AE",0.146611749794656,0.0803215533943887,27,154
"chl_fin_bills_or_accounts_payable","Unchecked","overall_owner_manager","AE",0.853388250205344,0.0803215533943887,127,154
"chl_fin_debt_or_loans","Checked","overall_owner_manager","AE",0.320374911847266,0.105959117367212,24,154
"chl_fin_debt_or_loans","Unchecked","overall_owner_manager","AE",0.679625088152734,0.105959117367212,130,154
"chl_fin_none_of_the_above","Checked","overall_owner_manager","AE",0.304593644435277,0.104509104719858,71,154
"chl_fin_none_of_the_above","Unchecked","overall_owner_manager","AE",0.695406355564723,0.104509104719858,83,154
"chl_fin_rent_or_lease","Checked","overall_owner_manager","AE",0.415981735301711,0.111924387622257,36,154
"chl_fin_rent_or_lease","Unchecked","overall_owner_manager","AE",0.584018264698289,0.111924387622257,118,154
"chl_fin_taxes","Checked","overall_owner_manager","AE",0.255524745577472,0.099041223482364,22,154
"chl_fin_taxes","Unchecked","overall_owner_manager","AE",0.744475254422528,0.099041223482364,132,154
"chl_fin_worker_salaries_wages_and_benefits","Checked","overall_owner_manager","AE",0.170129991644159,0.0853237345705127,36,154
"chl_fin_worker_salaries_wages_and_benefits","Unchecked","overall_owner_manager","AE",0.82987000835584,0.0853237345705127,118,154
"dem_age","20 to 29","overall_owner_manager","AE",0.49227518085956,0.072163887538321,99,262
"dem_age","30 to 39","overall_owner_manager","AE",0.270784948538207,0.0641419008959479,101,262
"dem_age","40 to 49","overall_owner_manager","AE",0.136209268728381,0.0495118728648908,36,262
"dem_age","50 to 59","overall_owner_manager","AE",0.0567284033640043,0.0333903070631215,14,262
"dem_age","60 to 69","overall_owner_manager","AE",0.0100318067073237,0.0143847378790946,3,262
"dem_age","Less than 20","overall_owner_manager","AE",0.0339703918025245,0.0261485282962452,9,262
"dgt_use_advertising","Checked","overall_owner_manager","AE",0.249319894995154,0.109944956384783,53,129
"dgt_use_advertising","Unchecked","overall_owner_manager","AE",0.750680105004846,0.109944956384783,76,129
"dgt_use_analyzing_or_researching_to_answer_business_questions","Checked","overall_owner_manager","AE",0.189061801374748,0.099509642365471,21,129
"dgt_use_analyzing_or_researching_to_answer_business_questions","Unchecked","overall_owner_manager","AE",0.810938198625252,0.099509642365471,108,129
"dgt_use_communicating_directly_with_customers","Checked","overall_owner_manager","AE",0.400304553616878,0.124517396457685,50,129
"dgt_use_communicating_directly_with_customers","Unchecked","overall_owner_manager","AE",0.599695446383122,0.124517396457685,79,129
"dgt_use_complying_with_legal_and_regulatory_requirements","Checked","overall_owner_manager","AE",0.142187267716895,0.088755645954879,16,129
"dgt_use_complying_with_legal_and_regulatory_requirements","Unchecked","overall_owner_manager","AE",0.857812732283106,0.088755645954879,113,129
"dgt_use_coordinating_or_collaborating_between_employees","Checked","overall_owner_manager","AE",0.193403838709361,0.100376029108176,24,129
"dgt_use_coordinating_or_collaborating_between_employees","Unchecked","overall_owner_manager","AE",0.806596161290639,0.100376029108176,105,129
"dgt_use_hiring","Checked","overall_owner_manager","AE",0.127223644468732,0.0846846687106011,21,129
"dgt_use_hiring","Unchecked","overall_owner_manager","AE",0.872776355531267,0.0846846687106011,108,129
"dgt_use_implementing_digital_security_and_consumer_protection_features","Checked","overall_owner_manager","AE",0.114026595311504,0.0807760871526472,13,129
"dgt_use_implementing_digital_security_and_consumer_protection_features","Unchecked","overall_owner_manager","AE",0.885973404688496,0.0807760871526472,116,129
"dgt_use_none_of_the_above","Checked","overall_owner_manager","AE",0.433906939858523,0.125953895576828,38,129
"dgt_use_none_of_the_above","Unchecked","overall_owner_manager","AE",0.566093060141477,0.125953895576828,91,129
"dgt_use_selling_goods_and_services","Checked","overall_owner_manager","AE",0.234573867437489,0.107686397244338,51,129
"dgt_use_selling_goods_and_services","Unchecked","overall_owner_manager","AE",0.765426132562511,0.107686397244338,78,129
"dig_use_access_to_digital_solutions_and_business_intelligence_services","Checked","overall_owner_manager","AE",0.141880523702014,0.089267245629732,15,113
"dig_use_access_to_digital_solutions_and_business_intelligence_services","Unchecked","overall_owner_manager","AE",0.858119476297986,0.089267245629732,98,113
"dig_use_increase_in_customer_or_supplier_base","Checked","overall_owner_manager","AE",0.176126766282033,0.097454016113648,34,113
"dig_use_increase_in_customer_or_supplier_base","Unchecked","overall_owner_manager","AE",0.823873233717967,0.0974540161136481,79,113
"dig_use_increase_in_employment","Checked","overall_owner_manager","AE",0.0618049306973047,0.0616048633702826,9,113
"dig_use_increase_in_employment","Unchecked","overall_owner_manager","AE",0.938195069302695,0.0616048633702827,104,113
"dig_use_increase_in_sales","Checked","overall_owner_manager","AE",0.368463027512264,0.123410812688059,43,113
"dig_use_increase_in_sales","Unchecked","overall_owner_manager","AE",0.631536972487736,0.123410812688059,70,113
"dig_use_lower_operation_costs_or_costs_of_sourcing_goods_and_services","Checked","overall_owner_manager","AE",0.265138771589154,0.112926573551659,23,113
"dig_use_lower_operation_costs_or_costs_of_sourcing_goods_and_services","Unchecked","overall_owner_manager","AE",0.734861228410846,0.112926573551659,90,113
